1657269000000,21776.66000000,21778.66000000,21427.52000000,21436.79000000,2888.64283000,1657270799999,62385772.50373740,47594,1178.30364000,25458991.68385070,0
1657270800000,21436.80000000,21549.56000000,21317.00000000,21545.01000000,3276.66839000,1657272599999,70147967.01785830,53611,1644.68503000,35211182.87945220,0
1657272600000,21545.02000000,21580.07000000,21428.27000000,21568.85000000,1521.41519000,1657274399999,32712943.20042330,26016,758.06971000,16299828.45887130,0
1657274400000,21568.84000000,21732.77000000,21491.02000000,21696.13000000,1913.69386000,1657276199999,41367233.40030880,32681,988.05572000,21359094.93465700,0
1657276200000,21696.13000000,21696.14000000,21509.44000000,21536.54000000,1073.37856000,1657277999999,23207037.06065270,23183,534.96172000,11568467.94120420,0
1657278000000,21536.55000000,21640.08000000,21465.04000000,21614.83000000,1415.55385000,1657279799999,30502806.18477630,25153,680.14176000,14657428.79599800,0
1657279800000,21614.84000000,21670.76000000,21564.26000000,21583.98000000,988.29624000,1657281599999,21365192.07352400,20409,443.31079000,9584071.63807370,0
1657281600000,21583.99000000,21714.99000000,21532.54000000,21615.33000000,1502.60308000,1657283399999,32501879.76162010,30993,801.86195000,17343571.27873820,0
1657283400000,21615.34000000,21619.12000000,21189.26000000,21380.00000000,5456.17096000,1657285199999,116683469.81123480,83237,2681.33621000,57322781.37328790,0
1657285200000,21380.01000000,21440.79000000,21301.80000000,21381.50000000,1676.10987000,1657286999999,35838910.82065130,33478,835.96470000,17873762.53950110,0
1657287000000,21381.49000000,21483.73000000,21206.42000000,21272.60000000,3054.28711000,1657288799999,65172197.53015020,53679,1517.13083000,32371371.57679920,0
1657288800000,21272.61000000,21471.30000000,21196.45000000,21461.06000000,9647.26523000,1657290599999,206036272.92600670,115290,4759.49299000,101650938.71797120,0
1657290600000,21461.06000000,21856.37000000,21446.98000000,21769.09000000,58975.84420000,1657292399999,1277372855.65475180,277994,29619.79724000,641518618.16357240,0
1657292400000,21769.09000000,22041.65000000,21701.24000000,21932.70000000,74378.71569000,1657294199999,1625288218.62761110,286104,37099.58226000,810653505.06030690,0
1657294200000,21931.96000000,22130.00000000,21853.68000000,21962.52000000,62828.47291000,1657295999999,1380345450.63320070,287314,31511.86813000,692323174.67077140,0
1657296000000,21964.30000000,21979.51000000,21618.34000000,21681.99000000,15589.68689000,1657297799999,340520631.38414430,181462,7739.53383000,169055128.53911090,0
1657297800000,21681.99000000,21743.59000000,21550.00000000,21689.36000000,23002.46365000,1657299599999,498704755.68080750,203905,11537.56660000,250136266.83855410,0
1657299600000,21690.73000000,21830.00000000,21629.96000000,21795.61000000,31413.62904000,1657301399999,682539614.33628770,234891,15745.50160000,342099020.19781300,0
1657301400000,21795.61000000,21837.64000000,21686.91000000,21767.47000000,14818.61415000,1657303199999,322532128.42490770,195548,7445.22093000,162045947.89877800,0
1657303200000,21758.71000000,21869.96000000,21672.31000000,21825.22000000,9709.89735000,1657304999999,211478849.99347030,174364,4848.19839000,105597262.18405190,0
1657305000000,21825.22000000,21886.40000000,21661.22000000,21736.26000000,8715.38041000,1657306799999,189992504.15292330,172410,4350.03202000,94834348.99168980,0
1657306800000,21736.35000000,21826.54000000,21664.14000000,21766.83000000,7392.66510000,1657308599999,160726191.48382880,168387,3732.65198000,81156169.70964860,0
1657308600000,21764.70000000,21876.93000000,21718.85000000,21811.90000000,7416.98937000,1657310399999,161697207.93359240,178205,3694.03047000,80534818.62768790,0
1657310400000,21811.90000000,21948.00000000,21771.42000000,21943.14000000,4967.81701000,1657312199999,108453140.41438520,136140,2570.71029000,56125125.33371640,0
1657312200000,21945.49000000,22045.91000000,21816.15000000,21855.41000000,4745.61424000,1657313999999,103912630.26964670,139640,2374.56729000,52004583.31588760,0
1657314000000,21855.41000000,22001.48000000,21836.99000000,21982.28000000,3020.70709000,1657315799999,66231534.44124620,99063,1552.09299000,34036571.94005260,0
1657315800000,21982.28000000,22020.00000000,21692.85000000,21700.37000000,2150.55522000,1657317599999,46968522.71003540,114351,983.08497000,21473018.98167940,0
1657317600000,21700.37000000,21810.00000000,21684.75000000,21791.99000000,2918.47110000,1657319399999,63501523.57131480,138948,1535.09578000,33402799.20452140,0
1657319400000,21791.99000000,21844.83000000,21748.65000000,21773.03000000,2550.97896000,1657321199999,55618953.02468560,104486,1327.65481000,28948109.35135740,0
1657321200000,21775.30000000,21962.48000000,21740.00000000,21895.91000000,2724.56929000,1657322999999,59547547.58902620,101736,1468.22637000,32090276.51915510,0
1657323000000,21892.49000000,21913.67000000,21580.71000000,21594.75000000,3224.56900000,1657324799999,70279121.86550590,115521,1485.78690000,32387236.08049430,0
1657324800000,21594.75000000,21683.84000000,21430.00000000,21650.44000000,6891.99691000,1657326599999,148595685.85065960,120211,3344.40665000,72108440.04402190,0
1657326600000,21652.84000000,21696.39000000,21475.58000000,21547.42000000,5283.29066000,1657328399999,114224587.60081110,93343,2654.01206000,57379392.38894470,0
1657328400000,21547.42000000,21600.20000000,21466.98000000,21468.85000000,4103.42335000,1657330199999,88389318.11360510,79056,2085.27170000,44918785.51662410,0
1657330200000,21467.50000000,21530.43000000,21403.24000000,21505.55000000,4913.26605000,1657331999999,105545652.56342080,93524,2650.20513000,56930681.83635030,0
1657332000000,21506.82000000,21604.89000000,21495.49000000,21596.92000000,4718.70928000,1657333799999,101685624.43276600,95906,2369.87765000,51068879.77974600,0
1657333800000,21597.71000000,21656.00000000,21528.07000000,21586.37000000,4290.45882000,1657335599999,92596740.17203990,93626,2170.07112000,46838460.33733880,0
1657335600000,21584.27000000,21600.57000000,21465.19000000,21492.06000000,3636.04340000,1657337399999,78326462.11759570,80261,1845.80577000,39761863.18142970,0
1657337400000,21492.06000000,21630.00000000,21479.00000000,21612.62000000,3923.56782000,1657339199999,84676360.23156950,79258,2016.60350000,43522059.46714450,0
1657339200000,21612.62000000,21636.23000000,21545.50000000,21560.74000000,5077.46477000,1657340999999,109602502.88623020,84431,2425.20043000,52354253.91554980,0
1657341000000,21560.74000000,21579.99000000,21507.37000000,21554.52000000,3102.87218000,1657342799999,66853280.89875130,69296,1567.33030000,33770323.09732550,0
1657342800000,21554.52000000,21611.00000000,21508.04000000,21544.19000000,2839.83114000,1657344599999,61236203.06446450,67023,1404.34358000,30282300.71856210,0
1657344600000,21543.06000000,21563.43000000,21485.82000000,21517.76000000,3175.16694000,1657346399999,68344700.25849300,72554,1592.15520000,34271857.67581310,0
1657346400000,21517.13000000,21542.22000000,21488.92000000,21513.96000000,3514.52160000,1657348199999,75622273.23669900,74274,1739.14438000,37421601.06101350,0
1657348200000,21514.95000000,21578.84000000,21508.87000000,21560.10000000,3083.26346000,1657349999999,66427090.39453490,67442,1580.38934000,34047550.98813050,0
1657350000000,21561.09000000,21728.63000000,21554.89000000,21662.85000000,4840.81875000,1657351799999,104745342.74941790,86645,2607.13604000,56416440.26446850,0
1657351800000,21663.70000000,21701.70000000,21588.98000000,21654.72000000,3191.30753000,1657353599999,69106470.31954650,71872,1588.27984000,34393840.43137820,0
1657353600000,21654.72000000,21682.10000000,21600.20000000,21674.20000000,2163.13970000,1657355399999,46831761.90414250,62379,1082.81484000,23443001.11728860,0
1657355400000,21674.20000000,21735.00000000,21624.07000000,21722.94000000,3403.03375000,1657357199999,73798551.03223810,71055,1725.30175000,37415544.47013860,0
1657357200000,21722.94000000,21729.72000000,21601.77000000,21624.04000000,3557.82061000,1657358999999,77116476.48110010,71507,1765.06050000,38257487.94130370,0
1657359000000,21624.04000000,21661.23000000,21608.61000000,21654.79000000,2156.45308000,1657360799999,46660345.48040310,54659,1110.97786000,24039128.89463380,0
1657360800000,21654.03000000,21703.83000000,21624.54000000,21674.16000000,2564.59668000,1657362599999,55577149.84021970,58472,1286.93893000,27889279.76864050,0
1657362600000,21674.16000000,21750.00000000,21665.92000000,21735.33000000,4167.80227000,1657364399999,90477840.25901960,71422,2158.99635000,46870273.94380100,0
1657364400000,21735.89000000,21778.73000000,21678.10000000,21734.59000000,3387.56035000,1657366199999,73611628.66737220,65265,1654.31527000,35950004.11692380,0
1657366200000,21734.59000000,21738.88000000,21322.12000000,21447.29000000,6189.55001000,1657367999999,133554763.34861970,97784,2922.09588000,63060806.76787180,0
1657368000000,21447.29000000,21550.96000000,21379.64000000,21489.19000000,5097.99889000,1657369799999,109570199.32611970,87183,2586.92042000,55601807.56748950,0
